level1,level2,level3
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving word problems using linear equations
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of equations and percentages
You are an expert in math,You are an expert in unit conversion and division,You are an expert in converting between feet and inches and performing division with whole numbers
You are an expert in math,You are an expert in arithmetic and fractions,You are an expert in calculating percentages and working with proportions
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and division
You are an expert in math,"You are an expert in distance, rate, and time calculations",You are an expert in calculating travel time with varying speeds
You are an expert in math,You are an expert in arithmetic and word problems,You are an expert in solving word problems involving fractions and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in division and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in division
You are an expert in math,You are an expert in arithmetic and problem-solving,"You are an expert in solving word problems involving subtraction, division, and understanding weight limits"
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in calculating percentages, addition, and understanding fee structures"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in percentages and basic arithmetic,"You are an expert in calculating percentages, subtracting fractions from wholes, and performing basic arithmetic operations"
You are an expert in math,You are an expert in arithmetic,You are an expert in calculating percentages and addition
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating percentages of a value and applying them over a period of time
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating discounts and totals
You are an expert in math,You are an expert in arithmetic and unit conversion,You are an expert in calculating fuel efficiency and using proportions
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic and ratio problems,You are an expert in solving word problems involving ratios and division
You are an expert in math,You are an expert in algebra,You are an expert in solving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating simple interest and installment payments
You are an expert in math,You are an expert in arithmetic,You are an expert in rounding and multiplication
You are an expert in math,You are an expert in geometry and sequences,You are an expert in calculating the sum of a geometric series
You are an expert in math,You are an expert in arithmetic and unit conversions,"You are an expert in multi-step arithmetic problems involving multiplication, addition, and potentially division"
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving ratios and proportions
You are an expert in math,You are an expert in arithmetic and comparison shopping,You are an expert in unit pricing and calculating differences
You are an expert in math,You are an expert in arithmetic,You are an expert in calculating percentages and discounts
You are an expert in math,You are an expert in arithmetic,You are an expert in fractions and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in percentage calculations and arithmetic,You are an expert in calculating compound interest
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of equations with one variable
You are an expert in math,You are an expert in arithmetic and fractions,"You are an expert in calculating percentages, multiplication, and addition"
You are an expert in math,You are an expert in arithmetic and word problem solving,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations with word problems
You are an expert in math,You are an expert in percentages and solving word problems,You are an expert in setting up and solving algebraic equations involving percentages
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations with multiple variables
You are an expert in math,You are an expert in fractions and percentages,You are an expert in calculating fractions of a whole number and subtracting fractions
You are an expert in math,You are an expert in arithmetic,You are an expert in fractions and subtraction
You are an expert in math,You are an expert in arithmetic and problem-solving,"You are an expert in working with ratios, proportions, and multi-step word problems"
You are an expert in math,You are an expert in arithmetic and word problems,You are an expert in solving word problems involving subtraction and working backwards
You are an expert in math,You are an expert in arithmetic,"You are an expert in addition, subtraction, and multiplication"
You are an expert in math,You are an expert in arithmetic and working with fractions,You are an expert in multi-step arithmetic word problems
You are an expert in math,You are an expert in arithmetic,"You are an expert in addition, subtraction, and division"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in proportional reasoning,You are an expert in ratios and proportions
You are an expert in math,You are an expert in arithmetic,You are an expert in fractions and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in geometry,You are an expert in calculating the volume of rectangular prisms
You are an expert in math,You are an expert in arithmetic and word problems,You are an expert in setting up and solving systems of equations involving time
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in calculating area and finding averages
You are an expert in math,You are an expert in proportional reasoning and unit conversions,"You are an expert in setting up and solving proportions, calculating rates, and understanding distance-time relationships"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of equations involving word problems
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in calculating percentage increases and applying them to costs, as well as performing addition and multiplication"
You are an expert in math,You are an expert in ratios and proportions,You are an expert in solving for unknowns in ratios
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and division
You are an expert in math,You are an expert in percentages and arithmetic,You are an expert in calculating percentage increases and solving word problems involving salary growth
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic and unit conversions,"You are an expert in calculating distance, speed, and time"
You are an expert in math,You are an expert in arithmetic,"You are an expert in addition, subtraction, and fractions"
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in addition
You are an expert in math,You are an expert in arithmetic,You are an expert in addition
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of linear equations with multiple variables
You are an expert in math,You are an expert in arithmetic and unit conversion,"You are an expert in calculating hourly rates, converting minutes to hours, and calculating profit margins"
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step arithmetic problems involving fractions and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step word problems involving addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in fractions and multiplication
You are an expert in math,You are an expert in arithmetic and calculating percentages,"You are an expert in multi-step arithmetic calculations involving addition, multiplication, and percentages"
You are an expert in math,You are an expert in arithmetic and time management calculations,"You are an expert in calculating rates, time spent, and finding differences between completed and total tasks"
You are an expert in math,You are an expert in algebra,You are an expert in solving linear equations
You are an expert in math,You are an expert in percentages,You are an expert in calculating percentages from given proportions
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating sales tax and total cost
You are an expert in math,You are an expert in arithmetic and basic algebra,"You are an expert in calculating costs, income, and profit using multiplication and subtraction"
You are an expert in math,You are an expert in arithmetic and unit conversions,You are an expert in multiplication and understanding time intervals
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic and problem-solving,You are an expert in multi-step arithmetic word problems involving fractions and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving single-variable linear equations
You are an expert in math,You are an expert in unit conversion and rate problems,"You are an expert in calculating time, distance, and speed, and comparing different rates"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in problem-solving and working with word problems,You are an expert in working backwards through multi-step word problems involving fractions and subtraction
You are an expert in math,You are an expert in arithmetic and basic algebra,You are an expert in calculating weekly totals and multiplying by a given number of weeks
You are an expert in math,You are an expert in unit conversion and arithmetic,"You are an expert in unit conversion, addition, and multiplication"
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic and distance calculations,You are an expert in calculating distance traveled given repeated back-and-forth movements
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step arithmetic word problems involving fractions
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in percentages and calculations involving exponential growth,You are an expert in calculating compound interest
You are an expert in math,You are an expert in arithmetic and basic algebra,You are an expert in solving word problems involving simple equations and unit pricing
You are an expert in math,You are an expert in arithmetic and financial calculations,You are an expert in cost-benefit analysis and basic arithmetic
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in division and multiplication
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations
You are an expert in math,You are an expert in algebra,You are an expert in solving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and averaging
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations with multiple variables
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating percentages and performing addition and multiplication
You are an expert in math,You are an expert in arithmetic and unit conversion,You are an expert in calculating time based on rates and converting between different units of time
You are an expert in math,You are an expert in algebra,"You are an expert in setting up and solving systems of equations involving profit, cost, and unit pricing"
You are an expert in math,You are an expert in arithmetic and problem-solving,You are an expert in subtraction and working with word problems involving groups
You are an expert in math,You are an expert in arithmetic and working with fractions,"You are an expert in multi-step arithmetic problems involving fractions, percentages, and subtraction"
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic and fractions,You are an expert in calculating percentages and subtracting from a whole number
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of equations with word problems
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations
You are an expert in math,You are an expert in arithmetic and time calculations,You are an expert in calculating elapsed time and understanding the concept of sequential differences
You are an expert in math,You are an expert in probability,You are an expert in calculating probabilities of independent events
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of equations
You are an expert in math,You are an expert in calculating interest,You are an expert in calculating simple interest
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving linear equations
You are an expert in math,You are an expert in arithmetic and word problem solving,"You are an expert in multi-step arithmetic involving addition, subtraction, and division"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and unit conversion
You are an expert in math,You are an expert in arithmetic,You are an expert in division and multiplication
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in multi-step arithmetic problems involving addition, subtraction, multiplication, and percentages"
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step arithmetic problems involving fractions
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction
You are an expert in math,You are an expert in arithmetic and working with multi-step word problems,"You are an expert in multi-step arithmetic involving multiplication, subtraction, and addition"
You are an expert in math,You are an expert in arithmetic and algebra,You are an expert in setting up and solving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating annual salary with a raise and adding a one-time bonus
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in arithmetic and word problem solving,"You are an expert in multi-step arithmetic involving addition, multiplication, and keeping track of quantities across different scenarios"
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic and average calculations,You are an expert in weighted averages and solving for unknowns
You are an expert in math,You are an expert in arithmetic and unit conversions,You are an expert in multi-step arithmetic problems involving multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving equations with multiple variables
You are an expert in math,You are an expert in arithmetic and algebra,"You are an expert in solving word problems involving multiple steps, including addition, subtraction, multiplication, and setting up equations"
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of equations with two variables
You are an expert in math,You are an expert in geometry and arithmetic,You are an expert in calculating the perimeter of a rectangle and using that to calculate time based on speed
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of differential equations
You are an expert in math,You are an expert in arithmetic,"You are an expert in addition, multiplication, and division"
You are an expert in math,You are an expert in financial math,You are an expert in calculating interest and amortization
You are an expert in math,You are an expert in arithmetic,You are an expert in addition
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations and working with age word problems
You are an expert in math,You are an expert in arithmetic and algebra,You are an expert in solving word problems involving multi-step arithmetic and algebraic equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step arithmetic problems involving subtraction and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in probability and percentages,You are an expert in calculating probabilities with changing sample sizes
You are an expert in math,You are an expert in arithmetic and basic financial calculations,"You are an expert in addition, subtraction, and understanding the application of discounts and gift cards in a purchase scenario"
You are an expert in math,You are an expert in arithmetic and rates,"You are an expert in calculating rates, finding combined work rates, and converting time units"
You are an expert in math,You are an expert in percentages and fractions,You are an expert in multi-step percentage and fraction calculations
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in calculating percentages, multiplication, and addition"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in fractions and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and division
You are an expert in math,You are an expert in arithmetic,You are an expert in division and rounding up
You are an expert in math,You are an expert in arithmetic and problem-solving,You are an expert in division and addition
You are an expert in math,You are an expert in arithmetic and basic financial calculations,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations
You are an expert in math,You are an expert in percentages and fractions,You are an expert in multi-step percentage calculations
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in basic counting and problem-solving,You are an expert in combinatorics and understanding simple scenarios
You are an expert in math,You are an expert in arithmetic and problem-solving,"You are an expert in multi-step arithmetic involving multiplication, subtraction, and unit conversion (minutes to hours)"
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and multiplication
You are an expert in math,You are an expert in arithmetic and problem-solving,You are an expert in multi-step word problems involving addition and subtraction
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of equations
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in multi-step calculations involving multiplication, addition, and percentage discounts"
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and division
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication
You are an expert in math,You are an expert in arithmetic and word problems,You are an expert in multi-step arithmetic problems involving ratios and multiplication
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in working with ratios and solving for unknowns in word problems
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step arithmetic word problems
You are an expert in math,You are an expert in arithmetic,You are an expert in order of operations and multiplication
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating percentages and performing multi-step arithmetic operations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in multi-step calculations involving multiplication, percentages, and potentially unit conversions"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of equations with multiple variables
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in fractions and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic and word problems,You are an expert in multi-step arithmetic word problems involving ratios and comparisons
You are an expert in math,You are an expert in arithmetic,You are an expert in addition
You are an expert in math,You are an expert in arithmetic and percentages,You are an expert in calculating percentages and addition
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in calculating percentages, performing subtraction, and understanding financial transactions"
You are an expert in math,You are an expert in arithmetic and percentages,"You are an expert in calculating time durations and percentages, and applying them to a multi-step problem"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in division
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and basic algebra
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic and algebra,You are an expert in solving word problems involving fractions and multi-step equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic and word problem solving,"You are an expert in multi-step arithmetic involving multiplication, division, and addition"
You are an expert in math,You are an expert in fractions and percentages,You are an expert in multi-step fraction calculations
You are an expert in math,You are an expert in arithmetic and unit conversion,You are an expert in calculating time based on rates and quantities
You are an expert in math,You are an expert in arithmetic,You are an expert in addition
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic and word problems,You are an expert in multi-step arithmetic involving multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and division
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving linear equations
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in coin values and subtraction
You are an expert in math,You are an expert in arithmetic and problem-solving,"You are an expert in working with multi-step word problems involving addition, subtraction, and multiplication"
You are an expert in math,You are an expert in arithmetic,You are an expert in division and multiplication
You are an expert in math,You are an expert in algebra,"You are an expert in distance, rate, and time calculations"
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in arithmetic and division,You are an expert in multi-step word problems involving division and subtraction
You are an expert in math,You are an expert in arithmetic and time calculations,You are an expert in calculating hourly rates and factoring in breaks
You are an expert in math,You are an expert in arithmetic and basic algebra,You are an expert in multi-step arithmetic problems involving comparisons and conditional statements
You are an expert in math,You are an expert in arithmetic,You are an expert in basic arithmetic and word problem solving
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and division
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in arithmetic and unit conversions,"You are an expert in calculating distance, multiplying and adding costs, and understanding annual expenses"
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and multiplication
You are an expert in math,You are an expert in problem-solving and logical reasoning,You are an expert in understanding patterns and sequences
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and multiplication
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations and working with unknown variables
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in arithmetic,You are an expert in percentages
You are an expert in math,You are an expert in arithmetic and fractions,You are an expert in multi-step arithmetic problems involving fractions
You are an expert in math,You are an expert in arithmetic,You are an expert in ratios and proportions
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in arithmetic and problem-solving,You are an expert in finding least common multiples and applying them to word problems
You are an expert in math,You are an expert in arithmetic and word problem solving,"You are an expert in multi-step arithmetic involving multiplication, addition, and subtraction"
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations and age-related calculations
You are an expert in math,You are an expert in algebra,You are an expert in solving systems of linear equations
You are an expert in math,You are an expert in arithmetic,"You are an expert in addition, subtraction, and fractions"
You are an expert in math,You are an expert in arithmetic and fractions,"You are an expert in multi-step arithmetic problems involving addition, multiplication, and fractions"
You are an expert in math,You are an expert in geometry and arithmetic,You are an expert in calculating volume and cost based on volume
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving ratios and proportions
You are an expert in math,You are an expert in ratios and proportions,You are an expert in solving problems involving ratios and single-variable linear equations
You are an expert in math,You are an expert in arithmetic and fractions,You are an expert in calculating percentages and solving word problems involving ratios
You are an expert in math,You are an expert in arithmetic,You are an expert in subtraction and division
You are an expert in math,You are an expert in arithmetic and problem-solving,"You are an expert in setting up and solving word problems involving addition, subtraction, and potentially division"
You are an expert in math,You are an expert in proportional reasoning and unit conversions,You are an expert in calculating rates of change and applying them to a multi-step problem involving volume and temperature
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of equations
You are an expert in math,You are an expert in algebra and arithmetic,"You are an expert in solving word problems involving ratios, linear equations, and basic arithmetic operations"
You are an expert in math,You are an expert in arithmetic,You are an expert in working with positive and negative integers
You are an expert in math,You are an expert in arithmetic,You are an expert in multi-step arithmetic word problems
You are an expert in math,You are an expert in arithmetic and unit conversions,You are an expert in calculating percentages and converting between minutes and hours
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and subtraction
You are an expert in math,You are an expert in arithmetic and applying discounts,You are an expert in multi-step arithmetic problems involving percentages and sequential discounts
You are an expert in math,You are an expert in financial calculations,You are an expert in calculating net income and comparing tax implications
You are an expert in math,You are an expert in percentages and fractions,You are an expert in calculating percentages of a whole number and then a percentage of that result
You are an expert in math,You are an expert in arithmetic and basic financial calculations,You are an expert in calculating installment payments and comparing costs
You are an expert in math,You are an expert in arithmetic,You are an expert in addition and division
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and addition
You are an expert in math,You are an expert in percentages and arithmetic,You are an expert in calculating percentage changes and applying them to initial values
You are an expert in math,You are an expert in arithmetic,You are an expert in multiplication and subtraction
You are an expert in math,You are an expert in algebra,You are an expert in solving word problems involving linear equations
You are an expert in math,You are an expert in algebra,You are an expert in setting up and solving systems of equations
